shorthandle,Obststand,Big B,TheJoker,Pippo,Neslihan,Okocha
quit_q,NA,NA,NA,NA,NA,NA
hardball,NA,Similar with another Q-statement Number 4,NA,NA,NA,NA
random,NA,NA,NA,NA,NA,NA
physics,NA,NA,NA,NA,NA,NA
the_usual,NA,NA,NA,NA,NA,NA
nude,NA,NA,NA,NA,NA,NA
afterlife,NA,NA,NA,NA,NA,NA
forbidden_places,NA,NA,NA,NA,NA,NA
cheating,I can't say anything about that because my girlfriend might see it,NA,NA,NA,NA,NA
make_happy,NA,NA,NA,NA,NA,NA
embarrassing,NA,NA,NA,NA,NA,NA
true_opinion,NA,NA,NA,NA,NA,NA
sexual_fantasies,NA,NA,NA,NA,NA,NA
karaoke,NA,NA,NA,NA,NA,NA
pretend_soelse,NA,NA,NA,NA,NA,NA
accident,NA,NA,NA,NA,NA,NA
ask_sex,NA,NA,NA,NA,NA,NA
not_shy,NA,NA,NA,NA,NA,NA
destruction,NA,NA,NA,NA,NA,NA
eating,NA,NA,NA,NA,NA,NA
drugs,NA,NA,NA,NA,NA,NA
avoid_people,NA,NA,NA,NA,NA,NA
scared,NA,NA,NA,NA,NA,NA
secret,NA,NA,NA,NA,NA,NA
killing,I might not only kill one person if I had the chance to.,NA,NA,NA,NA,NA
confess,NA,NA,NA,NA,NA,NA
what_to_do,NA,NA,NA,NA,NA,NA
confess_love,NA,NA,NA,NA,Sinnlos wenn man bereits in einer Beziehung ist,NA
party,NA,NA,NA,NA,NA,NA
rob_bank,NA,NA,NA,NA,NA,NA
act_normally,NA,NA,NA,NA,NA,NA
expensive_travel,NA,NA,NA,NA,NA,NA
me_time,NA,NA,NA,NA,NA,NA
improve_myself,NA,NA,NA,NA,NA,NA
restaurants,NA,NA,NA,NA,NA,NA
extreme_sports,NA,NA,NA,NA,NA,NA
graffitti,NA,NA,NA,NA,NA,NA
make_bad_day,NA,NA,NA,NA,NA,NA
join_cult,NA,NA,Which kind of cult?,Something like Satanic stuff?,NA,NA
work,NA,NA,NA,NA,NA,NA
lies,NA,NA,NA,NA,NA,Konsequenzen nicht zwingend in einer Woche absehbar
lottery,NA,NA,NA,NA,NA,NA
ask_scared,NA,NA,NA,NA,NA,NA
blind_deaf,NA,NA,NA,NA,NA,Interessanter Ansatz
fake_death,NA,NA,NA,NA,Findet das Item geschmacklos,NA
burn_state,NA,NA,NA,NA,NA,NA
not_pay_bills,NA,NA,NA,NA,NA,NA
insider_trading,NA,NA,NA,NA,NA,NA
non_violent_crime,NA,NA,NA,NA,NA,NA
grand_theft_auto,NA,NA,NA,NA,NA,NA
fortune_teller,NA,NA,NA,NA,NA,NA
tattoo,NA,NA,NA,NA,NA,NA
unprotected_sex,NA,NA,NA,NA,NA,NA
kidnapping,NA,NA,NA,NA,NA,NA
outing,NA,NA,What do you mean ?,NA,NA,NA
marry,NA,NA,NA,NA,NA,NA
scientific_proof,NA,NA,NA,NA,NA,NA
found_religion,NA,NA,NA,NA,NA,NA
sleep,NA,NA,NA,NA,NA,NA
